Agent_ID,Kick_Time,Bearing_To_Focal,vx,vy
4,52.6,2.137886947,-0.0587,0.2039
2,52.6,2.433261628,0.0053,0.2121
3,53.0,0.0,-0.0303,0.0313
1,53.0,1.755628181,-0.0531,0.0468
5,53.0,2.220250611,-0.0774,0.0365
4,53.0,2.353859864,-0.0787,0.0348
2,53.0,2.544565477,-0.066,0.0457
3,54.28,0.0,-0.1424,0.0689
1,54.28,1.715725126,-0.1377,0.063
5,54.28,2.161468642,-0.0996,0.0196
2,54.28,2.567140106,-0.1351,0.0612
4,54.28,2.72798958,-0.1329,-0.0078
3,54.84,0.0,-0.0342,0.0047
5,54.84,2.030971728,-0.0223,0.002
1,54.84,2.205038441,-0.0726,-0.0134
2,54.84,2.424580834,-0.0358,0.025
4,54.84,3.099466428,-0.0531,-0.0416
3,55.44,0.0,-0.0726,-0.0235
2,55.44,2.209235353,-0.0386,-0.0285
1,55.44,2.645577772,-0.0846,-0.0589
5,55.44,3.358466269,-0.103,-0.0942
4,55.44,3.537482432,-0.0319,-0.0698
3,56.6,0.0,-0.0484,-0.1556
2,56.6,2.446465726,-0.0472,-0.1832
1,56.6,3.463811154,-0.0493,-0.2112
4,56.6,3.463811154,-0.0156,-0.1365
5,56.6,3.463811154,-0.0535,-0.164
3,57.32,0.0,-0.0225,-0.0243
2,57.32,2.575338195,-0.0128,-0.0405
5,57.32,4.26789306,0.0175,-0.0535
4,57.32,4.318210137,0.0223,-0.0493
1,57.32,5.01921527,0.0512,-0.0332
3,58.56,0.0,0.0267,-0.0865
1,58.56,1.291844565,0.0287,-0.0157
2,58.56,2.056553355,0.0421,-0.0642
4,58.56,2.502550824,0.0316,-0.0294
5,58.56,4.829858085,0.0527,-0.052
3,59.12,0.0,0.0123,-0.0095
2,59.12,0.247973787,0.1006,-0.0419
1,59.12,1.494178923,0.0045,-0.0005
5,59.12,5.988654609,0.076,-0.0133
4,59.12,6.124985349,0.0781,-0.0284
3,59.6,0.0,0.0101,-0.0129
2,59.6,0.13304539,0.0534,-0.0146
1,59.6,1.61636736,0.0035,-0.001
5,59.6,6.066936762,0.0014,-0.0055
4,59.6,6.127874812,0.0462,-0.0184
3,60.24,0.0,0.0203,-0.0223
5,60.24,0.030680907,0.0025,-0.0086
2,60.24,0.129035148,0.0167,-0.0232
1,60.24,1.825141733,0.0016,-0.001
4,60.24,6.262681546,0.0157,-0.0103
3,61.12,0.0,0.0252,-0.0107
4,61.12,0.024625563,0.0235,-0.007
1,61.12,1.007298621,0.086,-0.0312
5,61.12,6.127287694,0.0809,-0.0268
2,61.12,6.274044794,0.0321,-0.025
3,62.6,0.0,0.1644,0.0456
2,62.6,0.370957849,0.1275,0.0748
1,62.6,1.034798566,0.1766,0.0701
4,62.6,1.27499623,0.0967,0.0879
5,62.6,4.425195726,0.0626,0.0368
3,63.28,0.0,0.0774,0.1333
2,63.28,0.185517069,0.0406,0.1118
1,63.28,1.290846504,0.0466,0.1186
4,63.28,4.044809957,0.0207,0.0342
5,63.28,4.244944661,0.0154,0.0203
3,64.64,0.0,-0.1353,0.2108
2,64.64,0.160261885,-0.1079,0.2143
1,64.64,0.799995667,-0.129,0.1666
4,64.64,4.739336633,-0.0901,0.1914
5,64.64,5.019596708,-0.0229,0.2107
3,65.52,0.0,-0.0229,0.0331
2,65.52,2.467464832,-0.1059,0.0388
1,65.52,3.238935444,-0.1308,-0.0026
4,65.52,3.91703382,-0.0604,0.0725
5,65.52,4.770071399,-0.0622,0.0989
