Experiment_ID;Agent_ID;Kick_Time;Orientation_Difference_To_Focal;vx;vy
151;4;53.0;-0.385294078;-0.0787;0.0348
151;5;53.0;-0.360979363;-0.0774;0.0365
151;2;53.0;-0.196007057;-0.066;0.0457
151;1;53.0;-0.079212003;-0.0531;0.0468
151;3;54.28;0.0;-0.1424;0.0689
151;4;54.28;-0.509266465;-0.1329;-0.0078
151;5;54.28;-0.256338591;-0.0996;0.0196
151;2;54.28;-0.025298887;-0.1351;0.0612
151;1;54.28;-0.021556063;-0.1377;0.063
151;3;54.84;0.0;-0.0342;0.0047
151;4;54.84;-0.80112517;-0.0531;-0.0416
151;1;54.84;-0.319090287;-0.0726;-0.0134
151;5;54.84;-0.047124632;-0.0223;0.002
151;2;54.84;0.473028843;-0.0358;0.025
151;3;55.44;0.0;-0.0726;-0.0235
151;4;55.44;-0.829071963;-0.0319;-0.0698
151;5;55.44;-0.427755088;-0.103;-0.0942
151;2;55.44;-0.322950209;-0.0386;-0.0285
151;1;55.44;-0.295134942;-0.0846;-0.0589
151;3;56.6;0.0;-0.0484;-0.1556
151;4;56.6;-0.187774953;-0.0156;-0.1365
151;1;56.6;-0.072245221;-0.0493;-0.2112
151;2;56.6;-0.049408933;-0.0472;-0.1832
151;5;56.6;0.01376755;-0.0535;-0.164
151;3;57.32;0.0;-0.0225;-0.0243
151;1;57.32;-1.742475882;0.0512;-0.0332
151;4;57.32;-1.171747645;0.0223;-0.0493
151;5;57.32;-1.063088209;0.0175;-0.0535
151;2;57.32;-0.440840379;-0.0128;-0.0405
151;3;58.56;0.0;0.0267;-0.0865
151;1;58.56;-0.7708375;0.0287;-0.0157
151;4;58.56;-0.522055816;0.0316;-0.0294
151;5;58.56;-0.492691537;0.0527;-0.052
151;2;58.56;-0.281023748;0.0421;-0.0642
151;3;59.12;0.0;0.0123;-0.0095
151;1;59.12;-0.546999956;0.0045;-0.0005
151;5;59.12;-0.484411511;0.076;-0.0133
151;4;59.12;-0.308886174;0.0781;-0.0284
151;2;59.12;-0.263007231;0.1006;-0.0419
151;3;59.6;0.0;0.0101;-0.0129
151;2;59.6;-0.639655415;0.0534;-0.0146
151;1;59.6;-0.628241519;0.0035;-0.001
151;4;59.6;-0.527528451;0.0462;-0.0184
151;5;59.6;0.415003008;0.0014;-0.0055
151;3;60.24;0.0;0.0203;-0.0223
151;1;60.24;-0.273712757;0.0016;-0.001
151;4;60.24;-0.251694859;0.0157;-0.0103
151;2;60.24;0.114574761;0.0167;-0.0232
151;5;60.24;0.455583401;0.0025;-0.0086
151;3;61.12;0.0;0.0252;-0.0107
151;4;61.12;-0.112030813;0.0235;-0.007
151;5;61.12;-0.081639216;0.0809;-0.0268
151;1;61.12;-0.053510586;0.086;-0.0312
151;2;61.12;0.260155375;0.0321;-0.025
151;3;62.6;0.0;0.1644;0.0456
151;4;62.6;-0.467193241;0.0967;0.0879
151;5;62.6;-0.260874432;0.0626;0.0368
151;2;62.6;-0.259987543;0.1275;0.0748
151;1;62.6;-0.107297259;0.1766;0.0701
151;3;63.28;0.0;0.0774;0.1333
151;2;63.28;-0.177726388;0.0406;0.1118
151;1;63.28;-0.15168063;0.0466;0.1186
151;4;63.28;0.018214066;0.0207;0.0342
151;5;63.28;0.12292914;0.0154;0.0203
151;3;64.64;0.0;-0.1353;0.2108
151;1;64.64;-0.088260804;-0.129;0.1666
151;2;64.64;0.104174365;-0.1079;0.2143
151;4;64.64;0.130649484;-0.0901;0.1914
151;5;64.64;0.462357472;-0.0229;0.2107
151;3;65.52;0.0;-0.0229;0.0331
151;1;65.52;-0.985440989;-0.1308;-0.0026
151;2;65.52;-0.614370873;-0.1059;0.0388
151;4;65.52;-0.089372195;-0.0604;0.0725
151;5;65.52;0.043818531;-0.0622;0.0989
151;3;67.2;0.0;-0.1719;-0.1257
151;4;67.2;-0.079887615;-0.149;-0.1284
151;2;67.2;-0.037383672;-0.1621;-0.1281
151;1;67.2;0.019775822;-0.1366;-0.0958
151;5;67.2;0.484879714;-0.2216;-0.0327
151;3;67.92;0.0;-0.0481;-0.0175
151;5;67.92;-0.938762621;-0.0032;-0.011
151;4;67.92;-0.857683774;-0.0162;-0.0425
151;2;67.92;-0.335356871;-0.038;-0.031
151;1;67.92;2.510064232;0.0199;0.0297
151;3;68.8;0.0;-0.0226;-0.0301
151;4;68.8;-1.256593604;0.0539;-0.0767
151;1;68.8;-1.142149168;0.0279;-0.0513
151;2;68.8;-0.848313908;0.0208;-0.1004
151;5;68.8;-0.549577523;-0.0018;-0.019
151;3;69.32;0.0;0.0099;-0.0384
151;1;69.32;-0.972922765;0.0125;-0.0045
151;4;69.32;-0.641601568;0.0285;-0.0229
151;2;69.32;-0.456608772;0.0235;-0.0274
151;5;69.32;0.079072314;0.0014;-0.008
151;3;69.8;0.0;0.0004;-0.0166
151;4;69.8;-0.952613795;0.0151;-0.0102
151;2;69.8;-0.709089143;0.0136;-0.0151
151;5;69.8;-0.36320188;0.0031;-0.0076
151;1;69.8;0.698832666;-0.0004;-0.0005
151;3;70.2;0.0;0.0315;-0.0389
151;4;70.2;-0.352842503;0.0141;-0.0084
151;2;70.2;-0.233948499;0.03;-0.0231
151;1;70.2;-0.086549238;0.0027;-0.0028
151;5;70.2;0.319832327;0.002;-0.0053
151;3;70.76;0.0;0.0465;-0.0698
151;4;70.76;-0.344071312;0.0397;-0.0295
151;2;70.76;-0.084024539;0.0415;-0.0522
151;5;70.76;-0.041960141;0.0518;-0.0711
151;1;70.76;0.124024307;0.0083;-0.0166
151;3;71.36;0.0;0.0412;-0.0436
151;4;71.36;-0.520979422;0.0584;-0.0176
151;2;71.36;-0.261342319;0.0722;-0.0445
151;1;71.36;-0.018274629;0.0247;-0.0252
151;5;71.36;0.013557261;0.0572;-0.0622
151;3;72.08;0.0;0.1605;-0.0037
151;2;72.08;-0.231567449;0.138;0.0292
151;4;72.08;-0.098759573;0.1081;0.0082
151;5;72.08;0.066198867;0.1788;-0.016
151;1;72.08;0.918479799;0.0918;-0.1261
151;3;73.0;0.0;0.129;0.1925
151;2;73.0;-0.113741801;0.0773;0.1497
151;4;73.0;-0.113383827;0.0507;0.0981
151;5;73.0;-0.017718242;0.102;0.1582
151;1;73.0;0.348160633;0.1447;0.106
151;3;73.56;0.0;-0.0483;0.1019
151;2;73.56;-0.022138041;-0.0538;0.1073
151;1;73.56;0.082941161;-0.0405;0.1077
151;5;73.56;0.139679098;-0.0281;0.0899
151;4;73.56;0.40832124;-0.0029;0.0845
151;3;74.96;0.0;-0.157;0.0998
151;5;74.96;-0.166059654;-0.1487;0.0629
151;1;74.96;0.260285376;-0.1072;0.1164
151;2;74.96;0.280150593;-0.1184;0.1338
151;4;74.96;0.433848572;-0.0988;0.1539
151;3;76.96;0.0;-0.1175;-0.0714
151;5;76.96;-0.177549524;-0.181;-0.1599
151;1;76.96;-0.087293706;-0.1426;-0.1047
151;4;76.96;0.190074775;-0.1716;-0.0638
151;2;76.96;0.218751333;-0.1137;-0.0386
151;3;78.32;0.0;-0.0204;0.0031
151;1;78.32;-1.321648062;-0.029;-0.0686
151;5;78.32;-1.019493421;-0.0258;-0.0305
151;2;78.32;-0.89377784;-0.0442;-0.0406
151;4;78.32;-0.470945984;-0.0745;-0.0247
151;3;79.44;0.0;-0.0105;0.0147
151;5;79.44;-2.724430186;0.0139;-0.0675
151;4;79.44;-2.431245078;-0.0087;-0.0963
151;1;79.44;-2.402956632;-0.0027;-0.0227
151;2;79.44;-1.997871197;-0.0344;-0.0596
151;3;79.92;0.0;-0.018;-0.0635
151;4;79.92;-0.603583465;0.0163;-0.048
151;1;79.92;-0.599307738;0.015;-0.0448
151;2;79.92;-0.257441361;-0.0004;-0.0213
151;5;79.92;0.009316016;-0.0123;-0.0419
151;3;80.68;0.0;-0.0243;-0.158
151;1;80.68;-0.540682164;0.0334;-0.0817
151;5;80.68;-0.215555719;0.0022;-0.0349
151;4;80.68;-0.15103927;-0.0001;-0.064
151;2;80.68;-0.122687914;-0.0031;-0.1036
151;3;81.16;0.0;0.0839;-0.0904
151;5;81.16;-0.02385274;0.0147;-0.0151
151;1;81.16;0.009444474;0.0367;-0.0403
151;4;81.16;0.055527224;0.0458;-0.0552
151;2;81.16;0.246250804;0.0304;-0.0554
151;3;81.88;0.0;0.0977;-0.0425
151;1;81.88;-0.008511466;0.0626;-0.0266
151;4;81.88;0.08419921;0.0625;-0.0337
151;2;81.88;0.339565652;0.0408;-0.038
151;5;81.88;0.351278678;0.0301;-0.0287
151;3;83.08;0.0;0.1918;0.0872
151;4;83.08;0.197689714;0.1613;0.0376
151;1;83.08;0.302351059;0.1496;0.0187
151;5;83.08;0.352684242;0.267;0.0198
151;2;83.08;0.713826887;0.0911;-0.0269
151;3;83.72;0.0;0.0211;0.1574
151;1;83.72;0.352202224;0.0641;0.1215
151;5;83.72;0.383035329;0.073;0.1286
151;4;83.72;0.633424849;0.0734;0.0762
151;2;83.72;0.726476863;0.0844;0.0727
151;3;84.08;0.0;-0.0406;0.0643
151;5;84.08;0.593589868;0.0019;0.0625
151;1;84.08;0.670398249;0.0082;0.0762
151;4;84.08;0.755004349;0.0107;0.0551
151;2;84.08;1.093537006;0.037;0.0631
151;3;85.4;0.0;-0.1935;0.0871
151;5;85.4;0.306149571;-0.1706;0.1524
151;1;85.4;0.527864574;-0.0968;0.1356
151;2;85.4;0.578490296;-0.1154;0.1803
151;4;85.4;0.652758423;-0.0737;0.1365
151;3;87.44;0.0;-0.1029;-0.0431
151;5;87.44;0.030748342;-0.2007;-0.0769
151;2;87.44;0.04461636;-0.2284;-0.0839
151;1;87.44;0.105554417;-0.256;-0.0767
151;4;87.44;0.434689415;-0.2365;0.009
151;3;88.16;0.0;-0.0005;-0.0007
151;2;88.16;-1.15890443;0.0349;-0.0584
151;1;88.16;-0.282106957;-0.0192;-0.0546
151;4;88.16;0.092299518;-0.0235;-0.0272
151;5;88.16;0.170735211;-0.027;-0.0267
151;3;88.64;0.0;-0.0139;-0.0743
151;2;88.64;-0.897476294;0.0254;-0.0294
151;4;88.64;-0.254122372;0.0044;-0.0635
151;1;88.64;-0.24154774;0.0034;-0.06
151;5;88.64;0.051514531;-0.006;-0.0249
151;3;89.8;0.0;0.0193;-0.2242
151;2;89.8;-0.786393931;0.0362;-0.0304
151;4;89.8;0.073853503;0.0015;-0.1248
151;1;89.8;0.127013585;-0.0041;-0.0996
151;5;89.8;0.281972379;-0.0118;-0.0594
151;3;90.2;0.0;0.0389;-0.028
151;2;90.2;-0.20498622;0.0137;-0.0061
151;1;90.2;0.171714293;0.0194;-0.0198
151;5;90.2;0.379417639;0.0487;-0.0764
151;4;90.2;0.767055229;0.0052;-0.0286
151;3;90.92;0.0;0.1675;-0.0063
151;1;90.92;0.390080237;0.1007;-0.0459
151;4;90.92;0.418465281;0.1217;-0.0597
151;5;90.92;0.445374657;0.164;-0.086
151;2;90.92;0.528430401;0.0735;-0.0467
151;3;91.76;0.0;0.1431;0.1206
151;5;91.76;0.434079891;0.1632;0.0445
151;2;91.76;0.435536139;0.1291;0.035
151;4;91.76;0.49463565;0.1443;0.0301
151;1;91.76;0.608433965;0.1596;0.0147
151;3;92.24;0.0;-0.0058;0.1247
151;5;92.24;0.337390136;0.0353;0.1179
151;2;92.24;0.445046381;0.0411;0.0976
151;1;92.24;0.659448401;0.0588;0.0836
151;4;92.24;0.699106064;0.0519;0.0679
151;3;92.84;0.0;-0.0624;0.0893
151;5;92.84;0.226192872;-0.0478;0.1184
151;2;92.84;0.308118932;-0.0353;0.1134
151;1;92.84;0.535278738;-0.0093;0.1244
151;4;92.84;0.692813264;0.0091;0.1095
151;3;93.76;0.0;-0.0389;0.0408
151;5;93.76;-0.063253542;-0.0593;0.0548
151;2;93.76;0.093515271;-0.0636;0.0806
151;1;93.76;0.179368312;-0.0709;0.1077
151;4;93.76;0.281925959;-0.0555;0.1067
151;3;94.32;0.0;-0.0281;0.0094
151;2;94.32;-0.379958908;-0.0472;-0.0027
151;1;94.32;0.502231263;-0.0351;0.038
151;4;94.32;0.809749181;-0.0224;0.0478
151;5;94.32;0.866279555;-0.0116;0.0289
151;3;94.92;0.0;-0.1138;-0.027
151;2;94.92;-0.345136875;-0.082;-0.0535
151;1;94.92;0.124226556;-0.0568;-0.0062
151;4;94.92;0.34986508;-0.0894;0.0105
151;5;94.92;0.472830307;-0.0462;0.0113
151;3;96.16;0.0;-0.0563;-0.1072
151;2;96.16;-0.701453784;0.0232;-0.1048
151;1;96.16;0.37427977;-0.1012;-0.0875
151;5;96.16;0.405145666;-0.1889;-0.1534
151;4;96.16;0.696818606;-0.113;-0.0465
151;3;96.8;0.0;-0.0139;-0.0206
151;1;96.8;-0.081012937;-0.0296;-0.0526
151;2;96.8;0.083127187;-0.0298;-0.0371
151;4;96.8;0.327860627;-0.049;-0.0372
151;5;96.8;0.594228737;-0.0417;-0.0168
151;3;97.84;0.0;-0.0092;-0.0083
151;1;97.84;0.270367252;-0.0694;-0.0347
151;5;97.84;0.486060016;-0.0237;-0.006
151;2;97.84;0.489245359;-0.1125;-0.0281
151;4;97.84;0.595959017;-0.0547;-0.0076
151;3;100.12;0.0;-0.0489;-0.0526
151;1;100.12;-1.289780116;0.0884;-0.1472
