Agent_ID;Kick_Time;Velocity_Agent;Velocity_Focal_Agent3;Velocity_Difference
4;50.2;0.188680196;0.125260714;0.063419482
2;50.84;0.172090916;0.172223014;0.00013209799999999716
1;50.84;0.181785107;0.172223014;0.009562092999999994
5;50.84;0.205720972;0.172223014;0.033497957999999994
4;50.84;0.097630622;0.172223014;0.07459239200000001
2;51.68;0.157688672;0.165565495;0.007876823000000005
4;51.68;0.174023555;0.165565495;0.00845805999999999
5;51.68;0.186264448;0.165565495;0.020698952999999992
1;51.68;0.194442521;0.165565495;0.028877026
1;52.6;0.169057105;0.136795108;0.032261997000000014
2;52.6;0.230615444;0.136795108;0.093820336
4;52.6;0.230631837;0.136795108;0.09383672900000001
5;52.6;0.25937033;0.136795108;0.12257522199999998
1;53.0;0.176950735;0.108908792;0.068041943
2;53.0;0.200693952;0.108908792;0.09178516
5;53.0;0.213936468;0.108908792;0.10502767599999999
4;53.0;0.215126852;0.108908792;0.10621806
1;54.28;0.11830274;0.123588145;0.005285404999999993
2;54.28;0.115871386;0.123588145;0.00771675899999999
4;54.28;0.104006795;0.123588145;0.019581349999999997
5;54.28;0.079304841;0.123588145;0.044283303999999996
2;54.84;0.077973373;0.061645433;0.01632794
5;54.84;0.039981262;0.061645433;0.021664171000000003
4;54.84;0.120455264;0.061645433;0.05880983100000001
1;54.84;0.131832647;0.061645433;0.070187214
4;55.44;0.127906759;0.127181083;0.0007256760000000084
1;55.44;0.171807143;0.127181083;0.044626059999999995
2;55.44;0.079968918;0.127181083;0.047212165
5;55.44;0.232633713;0.127181083;0.10545262999999999
5;56.6;0.148711894;0.140477358;0.008234536000000015
4;56.6;0.118438394;0.140477358;0.022038963999999994
2;56.6;0.163088503;0.140477358;0.022611145
1;56.6;0.186963521;0.140477358;0.046486163
2;57.32;0.058992473;0.045995924;0.012996548999999996
4;57.32;0.075151339;0.045995924;0.029155414999999997
5;57.32;0.078179765;0.045995924;0.032183841
1;57.32;0.084752727;0.045995924;0.038756803
2;58.56;0.061913481;0.073005655;0.011092174000000003
5;58.56;0.059706238;0.073005655;0.013299417000000001
4;58.56;0.034807707;0.073005655;0.038197948
1;58.56;0.02638194;0.073005655;0.046623715
1;59.12;0.008085165;0.027752781;0.019667616
5;59.12;0.137776739;0.027752781;0.110023958
4;59.12;0.148398874;0.027752781;0.12064609299999998
2;59.12;0.19460165;0.027752781;0.16684886899999998
5;59.6;0.01182372;0.034132351;0.022308631
1;59.6;0.007583448;0.034132351;0.026548903
4;59.6;0.10360264;0.034132351;0.06947028899999999
2;59.6;0.115333153;0.034132351;0.08120080199999999
2;60.24;0.044664822;0.047118638;0.0024538159999999976
4;60.24;0.02933924;0.047118638;0.017779398
5;60.24;0.013993756;0.047118638;0.033124881999999994
1;60.24;0.002948119;0.047118638;0.044170519
4;61.12;0.027864091;0.031110847;0.003246756
2;61.12;0.04623492;0.031110847;0.015124072999999998
5;61.12;0.09684492;0.031110847;0.065734073
1;61.12;0.103959822;0.031110847;0.072848975
1;62.6;0.12838117;0.115274944;0.013106225999999985
2;62.6;0.099879607;0.115274944;0.015395337000000009
4;62.6;0.088297395;0.115274944;0.026977549000000003
5;62.6;0.049064477;0.115274944;0.066210467
1;63.28;0.187391953;0.226678905;0.039286952000000014
2;63.28;0.174917183;0.226678905;0.05176172200000001
4;63.28;0.058789144;0.226678905;0.16788976100000003
5;63.28;0.037471154;0.226678905;0.189207751
2;64.64;0.176419876;0.184180139;0.0077602629999999895
5;64.64;0.155838819;0.184180139;0.028341320000000003
4;64.64;0.155548981;0.184180139;0.02863115799999999
1;64.64;0.154930082;0.184180139;0.029250056999999996
4;65.52;0.107230888;0.045738036;0.061492851999999994
2;65.52;0.128163734;0.045738036;0.08242569799999999
5;65.52;0.13276526;0.045738036;0.08702722399999999
1;65.52;0.148665725;0.045738036;0.10292768899999999
2;67.2;0.122979734;0.126759303;0.0037795689999999965
5;67.2;0.133333134;0.126759303;0.006573831000000002
4;67.2;0.117078295;0.126759303;0.009681007999999991
1;67.2;0.099312404;0.126759303;0.027446898999999983
2;67.92;0.068112221;0.071089678;0.002977457000000003
4;67.92;0.06317063;0.071089678;0.007919047999999998
1;67.92;0.049653506;0.071089678;0.021436172000000003
5;67.92;0.015911115;0.071089678;0.055178563
5;68.8;0.021687583;0.042772733;0.02108515
1;68.8;0.066359161;0.042772733;0.023586428
4;68.8;0.106528257;0.042772733;0.06375552400000001
2;68.8;0.116513575;0.042772733;0.073740842
4;69.32;0.070308387;0.076260851;0.0059524640000000045
2;69.32;0.06941775;0.076260851;0.006843101000000004
1;69.32;0.025548712;0.076260851;0.050712139
5;69.32;0.015618416;0.076260851;0.06064243500000001
4;69.8;0.037962998;0.034593372;0.0033696260000000006
2;69.8;0.042336799;0.034593372;0.007743427000000004
5;69.8;0.01709984;0.034593372;0.017493531999999996
1;69.8;0.001333984;0.034593372;0.033259387999999994
2;70.2;0.094657607;0.125136426;0.03047881899999999
4;70.2;0.041031238;0.125136426;0.084105188
5;70.2;0.014162009;0.125136426;0.11097441699999999
1;70.2;0.009724325;0.125136426;0.11541210099999999
5;70.76;0.157086536;0.149769061;0.00731747499999999
2;70.76;0.119083045;0.149769061;0.03068601600000001
4;70.76;0.088322302;0.149769061;0.061446759000000004
1;70.76;0.033141722;0.149769061;0.11662733900000001
4;71.36;0.101657377;0.099977775;0.0016796019999999884
5;71.36;0.140837574;0.099977775;0.04085979899999999
1;71.36;0.058810666;0.099977775;0.04116710900000001
2;71.36;0.141353477;0.099977775;0.041375702
1;72.08;0.216633055;0.222975892;0.006342837000000018
5;72.08;0.249325634;0.222975892;0.02634974199999998
2;72.08;0.195910347;0.222975892;0.027065544999999996
4;72.08;0.150570225;0.222975892;0.072405667
5;73.0;0.204599868;0.251876816;0.04727694800000001
1;73.0;0.194968885;0.251876816;0.056907930999999995
2;73.0;0.183130014;0.251876816;0.068746802
4;73.0;0.120029238;0.251876816;0.13184757800000002
1;73.56;0.20547;0.201370464;0.004099536000000015
2;73.56;0.214343221;0.201370464;0.012972757000000001
5;73.56;0.168195138;0.201370464;0.033175326000000005
4;73.56;0.150981694;0.201370464;0.05038877
4;74.96;0.130631609;0.132882179;0.0022505699999999795
2;74.96;0.127617493;0.132882179;0.005264685999999991
5;74.96;0.115325847;0.132882179;0.017556331999999994
1;74.96;0.113030608;0.132882179;0.019851570999999985
2;76.96;0.06003676;0.068746291;0.008709531
1;76.96;0.088454579;0.068746291;0.019708288000000004
4;76.96;0.091538243;0.068746291;0.022791952000000004
5;76.96;0.120756998;0.068746291;0.052010707
5;78.32;0.029373965;0.015172202;0.014201763
2;78.32;0.0441299;0.015172202;0.028957698
1;78.32;0.054763174;0.015172202;0.039590972
4;78.32;0.057711642;0.015172202;0.04253944
1;79.44;0.020410722;0.01612936;0.004281362
2;79.44;0.061442067;0.01612936;0.04531270700000001
5;79.44;0.061532434;0.01612936;0.045403074
4;79.44;0.086332314;0.01612936;0.070202954
4;79.92;0.105608562;0.137503946;0.031895383999999985
1;79.92;0.09842598;0.137503946;0.03907796599999999
5;79.92;0.090975138;0.137503946;0.04652880799999999
2;79.92;0.044382824;0.137503946;0.09312112199999999
2;80.68;0.136376803;0.210339103;0.07396230000000001
1;80.68;0.116136218;0.210339103;0.094202885
4;80.68;0.084210629;0.210339103;0.126128474
5;80.68;0.0460122;0.210339103;0.164326903
4;81.16;0.149430051;0.256946631;0.10751657999999997
2;81.16;0.131651502;0.256946631;0.12529512899999998
1;81.16;0.113555618;0.256946631;0.14339101299999998
5;81.16;0.043903501;0.256946631;0.21304312999999997
4;81.88;0.098620305;0.147977231;0.04935692599999998
1;81.88;0.094468134;0.147977231;0.05350909699999999
2;81.88;0.077437749;0.147977231;0.07053948199999999
5;81.88;0.05776342;0.147977231;0.09021381099999998
4;83.08;0.138020354;0.17557659;0.03755623599999999
5;83.08;0.223110959;0.17557659;0.04753436899999999
1;83.08;0.12563685;0.17557659;0.04993974000000001
2;83.08;0.079157105;0.17557659;0.096419485
5;83.72;0.231054394;0.248137447;0.017083053000000015
1;83.72;0.214643714;0.248137447;0.033493733
2;83.72;0.174053313;0.248137447;0.07408413400000002
4;83.72;0.165315158;0.248137447;0.08282228900000002
1;84.08;0.212888715;0.211236257;0.0016524579999999955
2;84.08;0.203188511;0.211236257;0.008047746000000022
5;84.08;0.173691315;0.211236257;0.037544942
4;84.08;0.155914764;0.211236257;0.055321493
2;85.4;0.162172977;0.160757254;0.0014157230000000076
5;85.4;0.173301345;0.160757254;0.012544091000000007
1;85.4;0.126216759;0.160757254;0.03454049499999998
4;85.4;0.117519365;0.160757254;0.04323788899999999
5;87.44;0.105356925;0.054687123;0.05066980200000001
4;87.44;0.116015287;0.054687123;0.061328164
2;87.44;0.119275666;0.054687123;0.064588543
1;87.44;0.131001534;0.054687123;0.076314411
4;88.16;0.049924519;0.001194767;0.048729752
5;88.16;0.052739204;0.001194767;0.051544437
1;88.16;0.080385357;0.001194767;0.07919059
2;88.16;0.094491104;0.001194767;0.09329633700000001
4;88.64;0.132608872;0.157477126;0.024868254000000006
1;88.64;0.125200534;0.157477126;0.03227659199999999
2;88.64;0.080942795;0.157477126;0.076534331
5;88.64;0.053359775;0.157477126;0.104117351
4;89.8;0.107593978;0.193990669;0.086396691
1;89.8;0.085934786;0.193990669;0.108055883
5;89.8;0.052207511;0.193990669;0.14178315800000002
2;89.8;0.040751341;0.193990669;0.153239328
4;90.2;0.072672209;0.119823047;0.047150838
1;90.2;0.069300072;0.119823047;0.050522975
2;90.2;0.037491666;0.119823047;0.08233138100000001
5;90.2;0.226504001;0.119823047;0.10668095400000001
5;90.92;0.257195823;0.232803383;0.024392439999999987
4;90.92;0.188269921;0.232803383;0.044533461999999996
1;90.92;0.153704889;0.232803383;0.07909849399999999
2;90.92;0.120946148;0.232803383;0.111857235
5;91.76;0.201378786;0.222787592;0.021408806000000002
1;91.76;0.190804219;0.222787592;0.03198337300000001
4;91.76;0.175483217;0.222787592;0.04730437500000001
2;91.76;0.159238417;0.222787592;0.06354917500000001
5;92.24;0.256398162;0.260072523;0.003674361000000015
2;92.24;0.220626574;0.260072523;0.03944594900000001
1;92.24;0.212932566;0.260072523;0.04713995700000001
4;92.24;0.178049082;0.260072523;0.082023441
4;92.84;0.183129129;0.181569163;0.001559965999999996
2;92.84;0.197945349;0.181569163;0.016376185999999987
1;92.84;0.207911907;0.181569163;0.026342744
5;92.84;0.212807947;0.181569163;0.03123878399999999
5;93.76;0.08776479;0.061274372;0.026490417999999995
2;93.76;0.111598838;0.061274372;0.050324466000000005
4;93.76;0.130729468;0.061274372;0.069455096
1;93.76;0.140154603;0.061274372;0.078880231
5;94.32;0.055609161;0.052911712;0.0026974489999999976
2;94.32;0.084423503;0.052911712;0.031511791
1;94.32;0.092375295;0.052911712;0.039463582999999997
4;94.32;0.094264743;0.052911712;0.041353031
2;94.92;0.163182328;0.194931897;0.031749569000000005
4;94.92;0.150024165;0.194931897;0.044907732000000006
1;94.92;0.095228964;0.194931897;0.099702933
5;94.92;0.079269757;0.194931897;0.11566214
4;96.16;0.09854314;0.097649036;0.0008941040000000067
1;96.16;0.10788891;0.097649036;0.01023987400000001
2;96.16;0.086562279;0.097649036;0.011086756999999989
5;96.16;0.196242622;0.097649036;0.09859358600000001
5;96.8;0.07024528;0.038829618;0.03141566199999999
2;96.8;0.074353496;0.038829618;0.035523878
1;96.8;0.094307198;0.038829618;0.05547757999999999
4;96.8;0.096126646;0.038829618;0.05729702799999999
5;97.84;0.023507403;0.011914156;0.011593247
4;97.84;0.053101391;0.011914156;0.041187234999999996
1;97.84;0.074607268;0.011914156;0.06269311200000001
2;97.84;0.111496428;0.011914156;0.099582272
5;100.12;0.044899686;0.031499565;0.013400121000000001
2;100.12;0.046073262;0.031499565;0.014573696999999997
4;100.12;0.072787595;0.031499565;0.041288029999999996
1;100.12;0.075308946;0.031499565;0.043809381
4;101.04;0.177613485;0.211885328;0.034271843000000024
1;101.04;0.139929262;0.211885328;0.07195606600000001
5;101.04;0.137013661;0.211885328;0.074871667
2;101.04;0.095373606;0.211885328;0.11651172200000001
4;101.52;0.207500418;0.238356642;0.030856224000000015
2;101.52;0.195899479;0.238356642;0.04245716300000002
