Agent_ID,Kick_Time,Distance_To_Focal,vx,vy
5,20.08,0.112829961,-0.0171,-0.1384
3,21.24,0.0,0.1503,-0.072
4,21.24,0.036108863,0.1298,-0.0789
1,21.24,0.043989203,0.1971,-0.1255
2,21.24,0.045292163,0.1104,-0.0345
5,21.24,0.054702285,0.1692,-0.1345
3,22.88,0.0,0.224,0.1008
5,22.88,0.022426993,0.2201,0.0644
2,22.88,0.025578311,0.1691,0.0838
1,22.88,0.072098821,0.1477,0.0456
4,22.88,0.117402598,0.1208,0.056
3,23.44,0.0,0.033,0.0385
1,23.44,0.03592353,0.0411,0.0768
5,23.44,0.03592353,-0.0097,-0.0011
2,23.44,0.048342631,0.0145,0.0518
4,23.44,0.115689585,0.0233,0.0543
3,25.16,0.0,-0.0116,0.1147
5,25.16,0.037733407,-0.0215,0.1263
2,25.16,0.063146259,-0.0027,0.1426
1,25.16,0.091124201,-0.0714,0.1735
4,25.16,0.094198195,0.0471,0.0908
3,25.88,0.0,-0.007,-0.0286
4,25.88,0.047400422,-0.0153,0.0569
2,25.88,0.048960494,-0.005,-0.0442
5,25.88,0.0900045,-0.0305,0.0539
1,25.88,0.104887988,-0.0028,0.0053
3,27.2,0.0,-0.0261,0.0822
2,27.2,0.064880891,-0.0597,0.0592
4,27.2,0.069228896,-0.0479,0.0804
5,27.2,0.079026578,-0.037,0.0516
1,27.2,0.104302637,-0.0394,0.0604
3,28.2,0.0,-0.1326,0.0632
5,28.2,0.02486966,-0.0661,0.0501
2,28.2,0.055809766,-0.1235,0.0317
1,28.2,0.069227523,-0.104,0.0407
4,28.2,0.072358137,-0.0065,0.0205
3,29.36,0.0,-0.1648,-0.0042
2,29.36,0.017404023,-0.0992,0.0237
5,29.36,0.017404023,-0.15,-0.0162
1,29.36,0.055230517,-0.1379,-0.0665
4,29.36,0.097692272,-0.132,0.0018
3,30.04,0.0,-0.0015,-0.0586
5,30.04,0.017969418,-0.0257,-0.0582
2,30.04,0.0296,-0.023,-0.0993
1,30.04,0.059992083,0.0867,-0.0526
4,30.04,0.059992083,-0.0415,-0.0535
3,30.96,0.0,0.0824,-0.0441
4,30.96,0.052851206,0.0537,0.038
2,30.96,0.058408304,0.0528,-0.0594
1,30.96,0.06680494,0.0606,-0.0712
5,30.96,0.097556189,0.0011,-0.0297
3,32.68,0.0,0.136,0.0843
2,32.68,0.047222982,0.1892,0.0825
5,32.68,0.055209057,0.1744,0.0578
1,32.68,0.103143056,0.1313,0.0445
4,32.68,0.10319094,0.0264,0.0887
3,33.64,0.0,0.0198,0.0176
2,33.64,0.034866173,0.0309,0.0385
5,33.64,0.066783531,0.009,0.0268
1,33.64,0.082635102,0.0276,0.0415
4,33.64,0.117415714,-0.0029,0.0021
3,34.88,0.0,-0.0355,-0.0218
2,34.88,0.037885749,-0.0324,0.0277
1,34.88,0.058322208,-0.0933,0.1066
4,34.88,0.058322208,0.049,-0.0074
5,34.88,0.100246945,-0.0504,0.0272
3,35.32,0.0,-0.0457,0.0141
2,35.32,0.024572546,-0.0664,0.0122
4,35.32,0.048578287,0.0019,0.0062
1,35.32,0.066250509,-0.0577,0.016
5,35.32,0.077190997,-0.0326,-0.0082
3,36.0,0.0,-0.098,-0.0362
2,36.0,0.036087948,-0.113,-0.0243
4,36.0,0.056098485,-0.1036,-0.0261
1,36.0,0.082402427,-0.1202,-0.0345
5,36.0,0.091307886,-0.1215,-0.0743
3,36.6,0.0,-0.07,-0.0521
2,36.6,0.057342829,-0.1179,-0.0726
1,36.6,0.079396033,-0.0852,-0.0852
5,36.6,0.103132585,-0.0714,-0.0961
4,36.6,0.108938515,-0.0298,-0.0123
3,37.08,0.0,-0.0112,-0.0782
2,37.08,0.050787597,-0.0041,-0.1087
