Model,Fitness EA,Weighs,Bias_Mode,Cosine,MSE Kicktime,MSE_Trajectory,Sorted Velocity Criteria
distance_cosine_results_bias_wall_zone_repulsion_alignment_domain,15.767599999999993,"(0.029947945844487397, 0.3021674181453083, 0.4778426481205489, -0.11850853272990725, 0.07046871536081584, 0.0010647397989324559)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,15.767599999999993,0.6283432241334802,8.871513521642083,distance
distance_mse_kicktime_results_bias_wall_zone_repulsion_alignment_domain,0.4294983199641528,"(-0.01365449802379075, 0.5170853831871762, 0.38771688511307467, 0.06003930179063831, -0.017786311148645696, -0.0037176207366744003)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,18.501699999999996,0.42949832028670865,6.1685890379532005,distance
distance_mse_trajectory_results_bias_wall_zone_repulsion_alignment_domain,1.0955238953479527,"(-0.005779446181297245, 0.26446425750986946, 0.29223777004177476, 0.22231596488983782, 0.21516714536080359, 3.541601641722691e-05)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,19.739500000000003,0.5216912132379089,1.0955238952988862,distance
distance_cosine_results_bias_zero,15.722099999999994,"(0.05016998612639067, 0.3092845085216381, 0.46733513886941, -0.12031477393563388, 0.05289559254692727)",bias_zero_None,15.722099999999994,0.6442645602293066,7.152129698042009,distance
distance_mse_kicktime_results_bias_zero,0.4311541193220245,"(-0.024461503604476523, 0.5222173120910386, 0.3720649294822702, 0.07134455607456078, -0.009911698747653758)",bias_zero_None,17.587899999999987,0.43115411942814347,3.0072541022881945,distance
distance_mse_trajectory_results_bias_zero,1.087616532815725,"(0.0002080635547571789, 0.257357630362067, 0.29336969605082996, 0.23054201057328672, 0.21852259945905914)",bias_zero_None,19.792799999999996,0.5272922278968042,1.0876165328010978,distance
distance_cosine_results_bias_random,14.965199999999994,"(0.045257517035229185, 0.3118969605859477, 0.4604514221539462, -0.06251384577426418, 0.09760637275082375, 0.022273881699789215)",bias_random_None,17.33620000000001,0.5422094590566349,6.220185622981896,distance
distance_mse_kicktime_results_bias_random,0.4245013679382825,"(-0.022423752294514182, 0.47420519908794406, 0.40387960053016353, 0.07839043013205538, -0.0026056028778017925, -0.018495415077521164)",bias_random_None,17.379799999999985,0.43383908543434796,2.203018195249312,distance
distance_mse_trajectory_results_bias_random,0.9992701383633272,"(-0.0005048103068965218, 0.265043205955902, 0.29081279993577924, 0.23351245627851297, 0.18816328565233556, 0.02196344187057377)",bias_random_None,20.329999999999995,0.5249422790448893,1.2385450962883477,distance
distance_cosine_results_bias_wall,15.818699999999996,"(0.07535944730699051, 0.28053428437414424, 0.5109414397100548, -0.10985668435498683, 0.0230928945455454, -0.00021524970827819332)",bias_wall_None,15.818699999999996,0.6381780588775974,7.3646904584743655,distance
distance_mse_kicktime_results_bias_wall,0.4163657625909278,"(0.004469302918657105, 0.46998196740288734, 0.4030203231341278, 0.0830950912493724, -0.03013021024300225, -0.009303105051953192)",bias_wall_None,19.97089999999999,0.41636576261068653,11.63456362757818,distance
distance_mse_trajectory_results_bias_wall,1.0671998228563309,"(0.004858820914807862, 0.22811804747987424, 0.37390716454681194, 0.20621375914751225, 0.18540826514395992, -0.001493942767033809)",bias_wall_None,19.390999999999995,0.5120167790721055,1.067199854037329,distance
distance_cosine_results_bias_positive,15.538999999999989,"(0.04163250253789546, 0.3184756607606647, 0.4860706988380938, -0.08201459455277864, 0.07007559750908994, -0.0017309458014773717)",bias_positive_None,15.538999999999989,0.5520064963752435,44.22257547331687,distance
distance_mse_kicktime_results_bias_positive,0.4315511243009089,"(-0.024498206210790185, 0.5170861568756677, 0.3602331913933112, 0.09378401892475012, -0.0040250594782653085, -0.00037336711721547945)",bias_positive_None,17.538799999999995,0.4315511242972264,2.767151806324185,distance
distance_mse_trajectory_results_bias_positive,1.576581208933809,"(0.21331052241927695, 0.23395635128234815, 0.15168986143206487, 0.16578381161637568, 0.2351844205849919, 7.50326649426318e-05)",bias_positive_None,23.346200000000003,0.7336413922130631,1.5765812085694737,distance
distance_cosine_results_bias_negative,15.573099999999998,"(0.05667719125589594, 0.27830780125739046, 0.48140650420143916, -0.09659306932053877, 0.08445597851636823, 0.0025594554483674556)",bias_negative_None,15.573099999999998,0.6121295429612967,86.96305758476034,distance
distance_mse_kicktime_results_bias_negative,0.43181522041338694,"(-0.03173736707675944, 0.5098909126058376, 0.3482459282661575, 0.1072850348493139, -0.0026374613062365893, 0.00020329589569487302)",bias_negative_None,17.790999999999983,0.4318152204144066,2.5518126695872363,distance
