Run_ID,Velocity,Loss_Function,Model,Fitness
3,distance,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,1.4183258678130202
3,distance,mse_trajectory,bias_wall_zone_repulsion_zone,2.6325667422596126
3,bearing,cosine,bias_zero,18.196799999999996
3,bearing,cosine,bias_random,17.558699999999998
3,bearing,cosine,bias_wall,18.825499999999998
3,bearing,cosine,bias_positive,17.365000000000006
3,bearing,cosine,bias_negative,18.365299999999994
3,bearing,cosine,bias_wall_zone_alignment_domain,18.79489999999999
3,bearing,cosine,bias_wall_zone_alignment_zone,18.621499999999997
3,bearing,cosine,bias_wall_zone_repulsion_alignment_domain,18.68720000000001
3,bearing,cosine,bias_wall_zone_repulsion_alignment_zone,18.562699999999985
3,bearing,cosine,bias_wall_zone_repulsion_zone,18.08559999999998
3,bearing,mse_kicktime,bias_zero,0.5308680045250178
3,bearing,mse_kicktime,bias_random,0.5250275386687738
3,bearing,mse_kicktime,bias_wall,0.5029952158454586
3,bearing,mse_kicktime,bias_positive,0.5315760103134832
3,bearing,mse_kicktime,bias_negative,0.5314255464947408
3,bearing,mse_kicktime,bias_wall_zone_alignment_domain,0.5139585474496525
3,bearing,mse_kicktime,bias_wall_zone_alignment_zone,0.5265811889774724
3,bearing,mse_kicktime,bias_wall_zone_repulsion_alignment_domain,0.5230821820785789
3,bearing,mse_kicktime,bias_wall_zone_repulsion_alignment_zone,0.5291397221711894
3,bearing,mse_kicktime,bias_wall_zone_repulsion_zone,0.5307398725547937
3,bearing,mse_trajectory,bias_zero,1.1231351851618123
3,bearing,mse_trajectory,bias_random,1.1154840758400377
3,bearing,mse_trajectory,bias_wall,1.2798069627253152
3,bearing,mse_trajectory,bias_positive,9.792394303469553
3,bearing,mse_trajectory,bias_negative,2.8897584215811594
3,bearing,mse_trajectory,bias_wall_zone_alignment_domain,1.1358797270074652
3,bearing,mse_trajectory,bias_wall_zone_alignment_zone,1.2182086466151305
3,bearing,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,1.2500078612969392
3,bearing,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,1.5693874362964932
3,bearing,mse_trajectory,bias_wall_zone_repulsion_zone,1.2813818498467682
4,orientation,cosine,bias_zero,18.5495
4,orientation,cosine,bias_random,18.5134
4,orientation,cosine,bias_wall,19.283899999999992
4,orientation,cosine,bias_positive,18.19229999999999
4,orientation,cosine,bias_negative,18.223000000000013
4,orientation,cosine,bias_wall_zone_alignment_domain,19.076600000000006
4,orientation,cosine,bias_wall_zone_alignment_zone,18.7048
4,orientation,cosine,bias_wall_zone_repulsion_alignment_domain,18.377200000000002
4,orientation,cosine,bias_wall_zone_repulsion_alignment_zone,17.9387
4,orientation,cosine,bias_wall_zone_repulsion_zone,17.7061
4,orientation,mse_kicktime,bias_zero,0.5193389172039534
4,orientation,mse_kicktime,bias_random,0.5102807355345351
4,orientation,mse_kicktime,bias_wall,0.5077620501794886
4,orientation,mse_kicktime,bias_positive,0.5201350005813489
4,orientation,mse_kicktime,bias_negative,0.5208327941597283
4,orientation,mse_kicktime,bias_wall_zone_alignment_domain,0.5153057770168346
4,orientation,mse_kicktime,bias_wall_zone_alignment_zone,0.519395322640237
