Kick_Time,x,y,vx,vy,vector_x,vector_y,x_wall,y_wall,tangent_x,tangent_y,radius_x,radius_y,wall_distance
69.8,-0.2228,-0.0169,0.0004,-0.0166,,,-0.24928388315234032,-0.01890887623552312,0.0756355049420925,-0.9971355326093614,-0.9971355326093614,-0.0756355049420925,0.026559963301112932
70.2,-0.1913,-0.0558,0.0315,-0.0389,,,-0.2399985948370317,-0.07000481752172698,0.28001927008690797,-0.9599943793481269,-0.9599943793481268,-0.28001927008690797,0.05072799995985386
70.76,-0.1448,-0.1256,0.0465,-0.0698,,,-0.1888534009148407,-0.163812065986906,0.655248263947624,-0.7554136036593628,-0.7554136036593627,-0.655248263947624,0.0583169282383027
71.36,-0.1036,-0.1692,0.0412,-0.0436,,,-0.13054594676861755,-0.21320824510859157,0.8528329804343664,-0.5221837870744703,-0.5221837870744704,-0.8528329804343663,0.05160241936959009
72.08,0.0569,-0.1729,0.1605,-0.0037,,,0.07814988038722209,-0.2374712534086239,0.9498850136344957,0.3125995215488884,0.31259952154888837,-0.9498850136344957,0.06797796836646394
73.0,0.1859,0.0196,0.129,0.1925,,,0.24862196280230692,0.026212966492335746,-0.10485186596934298,0.9944878512092277,0.9944878512092277,0.10485186596934298,0.06306961188720545
73.56,0.1376,0.1215,-0.0483,0.1019,,,0.18739983465794757,0.16547296446904528,-0.6618918578761811,0.7495993386317903,0.7495993386317903,0.6618918578761811,0.06643527027230967
74.96,-0.0194,0.2213,-0.157,0.0998,,,-0.021832222065520872,0.24904488366493654,-0.9961795346597463,-0.0873288882620835,-0.08732888826208346,0.9961795346597463,0.02785128854751373
76.96,-0.1369,0.1499,-0.1175,-0.0714,,,-0.16859069983968253,0.1846000431407481,-0.7384001725629925,-0.6743627993587302,-0.6743627993587301,0.7384001725629926,0.04699354690059726
78.32,-0.1573,0.153,-0.0204,0.0031,,,-0.17920918235066471,0.1743102663677794,-0.6972410654711176,-0.7168367294026589,-0.7168367294026589,0.6972410654711175,0.030563699447880788
79.44,-0.1678,0.1677,-0.0105,0.0147,,,-0.17682937796196796,0.17672399692623375,-0.706895987704935,-0.7073175118478718,-0.707317511847872,0.7068959877049349,0.012765664373809493
79.92,-0.1858,0.1042,-0.018,-0.0635,,,-0.21805041513692922,0.1222866160240475,-0.48914646409619,-0.8722016605477169,-0.8722016605477168,0.48914646409619,0.03697586991141122
80.68,-0.2101,-0.0538,-0.0243,-0.158,,,-0.24218586527542893,-0.062016180636925634,0.24806472254770254,-0.9687434611017157,-0.9687434611017157,-0.2480647225477025,0.033121116749463136
81.16,-0.1262,-0.1442,0.0839,-0.0904,,,-0.16464462384645948,-0.18812800918113673,0.7525120367245469,-0.6585784953858379,-0.6585784953858378,-0.7525120367245469,0.058375158186627585
81.88,-0.0285,-0.1867,0.0977,-0.0425,,,-0.03772580794233893,-0.2471371348363045,0.988548539345218,-0.15090323176935572,-0.1509032317693557,-0.988548539345218,0.06113724559882114
83.08,0.1633,-0.0995,0.1918,0.0872,,,0.21349155287251798,-0.1300821158041368,0.5203284632165472,0.8539662114900719,0.8539662114900718,-0.5203284632165474,0.058774635573624806
83.72,0.1844,0.0579,0.0211,0.1574,,,0.23851850522669363,0.07489274106629913,-0.2995709642651965,0.9540740209067745,0.9540740209067744,0.29957096426519647,0.0567235917138359
84.08,0.1438,0.1222,-0.0406,0.0643,,,0.190504440280971,0.16188903061428828,-0.6475561224571531,0.762017761123884,0.7620177611238839,0.647556122457153,0.061290487786121395
